station_name
10th & E St NW
10th & Florida Ave NW
10th & G St NW
10th & K St NW
10th & Monroe St NE
10th & U St NW
10th St & Constitution Ave NW
10th St & L'Enfant Plaza SW
11th & C St SE
11th & F St NW
11th & Girard St NW
11th & H St NE
11th & Kenyon St NW
11th & M St NW
11th & O St NW
11th & Park Rd NW
11th & S St NW
12th & Irving St NE
12th & L St NW
12th & Newton St NE
12th & U St NW
12th St & Pennsylvania Ave SE
1301 McCormick Dr / Wayne K. Curry Admin Bldg
13th & D St NE
13th & E St SE
13th & H St NE
13th St & Eastern Ave
13th St & New York Ave NW
14th & Belmont St NW
14th & D St NW / Ronald Reagan Building
14th & G St NW
14th & Girard St NW
14th & Harvard St NW
14th & Irving St NW
14th & L St NW
14th & Luzon St NW
14th & Newton St NW
14th & Otis Pl NW
14th & Rhode Island Ave NW
14th & Upshur St NW
14th & V St NW
14th St & Colorado Ave NW
14th St & New York Ave NW
14th St & Spring Rd NW
15th & East Capitol St NE
15th & Euclid St  NW
15th & F St NE
15th & K St NW
15th & L St NW
15th & M St NW
15th & P St NW
15th & W St NW
15th St & Constitution Ave NW
15th St & Massachusetts Ave SE
15th St & N Scott St
15th St & Pennsylvania Ave NW
16th & Harvard St NW
16th & Irving St NW
16th & R St NW
17th & Corcoran St NW
17th & G St NW
17th & K St NW
17th & K St NW / Farragut Square
17th & Upshur St NW
17th St & Independence Ave SW
17th St & Massachusetts Ave NW
18th & C St NW
18th & L St NW
18th & M St NW
18th & Monroe St NE
18th & New Hampshire Ave NW
18th & R St NW
18th St & Pennsylvania Ave NW
18th St & Wyoming Ave NW
19th & E Street NW
19th & East Capitol St SE
19th & G St NW
19th & K St NW
19th St & Constitution Ave NW
19th St & Pennsylvania Ave NW
1st & D St SE
1st & H St NW
1st & K St SE
1st & M St NE
1st & M St SE
1st & N St  SE
1st & O St NW
1st & Rhode Island Ave NW
1st & S Capitol St SE / Oxon Run Trail
1st & Washington Hospital Center NW
20th & E St NW
20th & L St NW
20th & O St NW / Dupont South
20th St & Florida Ave NW
21st & I St NW
21st & M St NW
21st St & Constitution Ave NW
21st St & N Pierce St
21st St & Pennsylvania Ave NW
22nd & H St NW
22nd & I St NW / Foggy Bottom
22nd & P ST NW
22nd St & Constitution Ave NW
23rd & E St NW 
23rd & M St NW
24th & N St NW
25th St & Pennsylvania Ave NW
28th St & S Meade St
2nd & G St NE
2nd St & Massachusetts Ave NE
2nd St & Seaton Pl NE
3000 Connecticut Ave NW / National Zoo
31st & Water St NW
34th & Water St NW
34th St & Wisconsin Ave NW
36th & Calvert St NW / Glover Park
37th & O St NW / Georgetown University
39th & Calvert St NW / Stoddert
39th & Veazey St NW
3rd & D St SE
3rd & Elm St NW
3rd & G St SE
3rd & H St NE
3rd & H St NW
3rd & M St NE
3rd & Tingey St SE
3rd St & Pennsylvania Ave SE
3rd St & Riggs Rd NE
48th Pl & MacArthur Blvd NW
4th & C St SW
4th & D St NW / Judiciary Square
4th & E St SW
4th & East Capitol St NE
4th & M St SE
4th & M St SW
4th & W St NE
4th St & K St NW
4th St & Madison Dr NW
4th St & Mississippi Ave SE
5th & F St NW
5th & K St NW
5th & Kennedy St NW
5th St & Massachusetts Ave NW
61st St & Banks Pl NE
6th & H St NE
6th & K St NE
6th St & Indiana Ave NW
7th & E St SW
7th & F St NW / National Portrait Gallery
7th & K St NW
7th & R St NW / Shaw Library
7th & S St NW
7th & T St NW
7th St & Massachusetts Ave NE
8th & D St NW
8th & East Capitol St NE
8th & Eye St SE / Barracks Row
8th & F St NE
8th & H St NE
8th & H St NW
8th & K St NE
8th & O St NW
9th & Upshur St NW
Adams Mill & Columbia Rd NW
Alabama & MLK Ave SE
Alabama Ave & Stanton Rd SE / Shops at Park Village
American University East Campus
Anacostia Ave & Benning Rd NE / River Terrace 
Anacostia Library
Anacostia Metro
Anacostia Park
Arlington Blvd & Fillmore St
Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St
Army Navy Dr & S Joyce St
Army Navy Dr & S Nash St
Ballenger Ave & Dulaney St
Ballston Metro / Stuart St & 9th St N
Baltimore Ave & Van Buren St / Riverdale Park Station
Barcroft Community Center
Barton St & 10th St N
Battery Ln & Trolley Trail
Benning Rd & East Capitol St NE / Benning Rd Metro
Bethesda Ave & Arlington Rd
Bethesda Metro / Wisconsin Ave & Old Georgetown Rd
Bladensburg Rd & Benning Rd NE
Blueridge Ave & Elkin St
Braddock Rd Metro
Briggs Chaney Park & Ride
C & O Canal & Wisconsin Ave NW
California St & Florida Ave NW
Calvert & Biltmore St NW
Calvert St & Woodley Pl NW
Carlin Springs Rd & N Thomas St
Carroll & Ethan Allen Ave
Carroll & Westmoreland Ave
Central Library / Quincy St & 10th St N
Chillum Rd & Riggs Rd / Riggs Plaza
Clarendon Blvd & N Fillmore St
Clarendon Blvd & Pierce St
Clarendon Metro / Wilson Blvd & N Highland St
Clark St & 26th St S
Columbia & Ontario Rd NW
Columbia Pike & S Courthouse Rd
Columbia Pike & S Oakland St
Columbia Pike & S Orme St
Columbia Pike & S Taylor St
Columbia Pike & S Walter Reed Dr
Columbia Rd & Belmont St NW
Columbia Rd & Georgia Ave NW
Columbus Circle / Union Station
Commerce St & Fayette St
Commonwealth Ave & E Monroe Ave
Congress Heights Metro
Congressional Ln & E Jefferson St
Connecticut & Nebraska Ave NW
Connecticut Ave & McKinley St NW
Connecticut Ave & Newark St NW / Cleveland Park
Connecticut Ave & R St NW
Connecticut Ave & Tilden St NW
Connecticut Ave & Yuma St NW
Constitution Ave & 2nd St NW/DOL
Convention Center / 7th & M St NW
Cordell & Norfolk Ave
Court House Metro / 15th St & N Uhle St
Crystal City Metro / 18th St & S Bell St
Crystal Dr & 15th St S
Crystal Dr & 20th St S
Crystal Dr & 23rd St S
Crystal Dr & 27th St S
Crystal Dr & Potomac Ave
D St & Maryland Ave NE
Deanwood Rec Center
Division Ave & Foote St NE
Duke St & John Carlyle St
Dunn Loring Metro
E Fairfax St & S Washington St
E Montgomery Ave & Maryland Ave
Eads St & 12th St S
Eads St & 15th St S
Eads St & 22nd St S
East Falls Church Metro / Sycamore St & 19th St N
East West Hwy & 16th St
East West Hwy & Blair Mill Rd
Eastern Market / 7th & North Carolina Ave SE
Eastern Market Metro / Pennsylvania Ave & 7th St SE
Eckington Pl & Q St NE
Edgewood Rec Center
Eisenhower Ave & Mill Race Ln
Fairfax Dr & N Randolph St
Fairfax Dr & Wilson Blvd
Fairfax Village
Fallsgrove Blvd & Fallsgrove Dr
Fallsgrove Dr & W Montgomery Ave
Fenton St & Ellsworth Dr 
Fenton St & Gist Ave
Fenton St & New York Ave 
Fessenden St & Wisconsin Ave NW
Fleet St & Ritchie Pkwy
Fleet St & Waterfront St
Florida Ave & R St NW
Fort Stanton Rec Center
Fort Totten Metro
Four Mile Run Dr & S Shirlington Rd
Four Mile Run Dr & S Walter Reed Dr
Franklin St & S Washington St
Friendship Blvd & Willard Ave
Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir
GMU / Fairfax Dr & Kenmore St
George Mason Dr & Wilson Blvd
George Mason High School / Haycock Rd & Leesburg Pike
Georgetown Harbor / 30th St NW
Georgia & Missouri Ave NW
Georgia & New Hampshire Ave NW
Georgia Ave & Emerson St NW
Georgia Ave & Kennedy St NW
Georgia Ave & Morton St NW
Georgia Ave & Piney Branch Rd NW
Georgia Ave and Fairmont St NW
Glebe Rd & 11th St N
Good Hope & Naylor Rd SE
Good Hope Rd & MLK Ave SE
Grant Circle
Gravelly Point
Hains Point/Buckeye & Ohio Dr SW
Hamlin & 7th St NE
Hardy Rec Center
Harvard St & Adams Mill Rd NW
Henry Bacon Dr & Lincoln Memorial Circle NW
Independence Ave & L'Enfant Plaza SW/DOE
Iwo Jima Memorial / Meade & 14th St N
Jefferson Dr & 14th St SW
Jefferson Memorial
John McCormack Dr & Michigan Ave NE
Joliet St & MLK Ave SW/Bald Eagle Rec Ctr
Jones Branch Drive & Scotts Crossing Rd
Joyce St & 16th St S
Kansas Ave & Sherman Cr NW
Kenilworth Terrace & Hayes St. NE
Kenmore St & 24th St S
Kennebec St & 11th St N
Kennedy Center
Key Blvd & N Quinn St
Key West Ave & Siesta Key Way
King Greenleaf Rec Center
King St & Patrick St
King St Metro North / Cameron St
King St Metro South
Kingman Island/The Fields at RFK
L'Enfant Plaza / 7th & C St SW
Lamont & Mt Pleasant NW
Largo Town Center Metro
Lee Hwy & N Cleveland St
Lee Hwy & N Kirkwood Rd
Lee Hwy & N Monroe St
Lee Hwy & N Scott St
Lee Hwy & N Woodstock St
Lincoln Memorial
Lincoln Park / 13th & East Capitol St NE 
Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center
Livingston Rd & 3rd St SE
Long Bridge Park / Long Bridge Dr & 6th St S
Lynn St & 19th St North
Lyttonsville Rd & Lyttonsville Pl
M St & New Jersey Ave SE
M St & Pennsylvania Ave NW
Madison St & Fairfax St
Madison St & N Henry St
Maine Ave & 7th St SW
Maine Ave & 9th St SW
Maple & Ritchie Ave
Market Square / King St & Royal St
Maryland Ave & 17th St NE
Maryland Ave & E St NE
Massachusetts Ave & 6th St NE
Massachusetts Ave & Dupont Circle NW
Merrifield Cinema & Merrifield Town Center
Metro Center / 12th & G St NW
Minnesota Ave Metro/DOES
Monroe Ave & Leslie Ave
Montello Ave & Holbrook Terr NE
Montgomery Ave & Waverly St 
Mount Vernon Ave & Bruce St
Mount Vernon Ave & E Del Ray Ave
Mount Vernon Ave & E Nelson Ave
Mount Vernon Ave & Four Mile Run Park
Mount Vernon Ave & Kennedy St
N Lynn St & Fairfax Dr
N Quincy St & Glebe Rd
N Veitch St & 20th St N
Nannie Helen Burroughs Ave & 49th St NE
National Harbor Carousel
Neal St & Trinidad Ave NE
Needwood Rd & Eagles Head Ct
New Dominion Pkwy & Fountain Dr
New Hampshire & Gallatin St NW
New Hampshire Ave & 24th St NW
New Hampshire Ave & T St NW
New Hampshire Ave & Ward Pl NW
New Jersey Ave & F St NW
New Jersey Ave & N St NW/Dunbar HS
New Jersey Ave & R St NW
New York Ave & 15th St NW
New York Ave & Hecht Ave NE
Norfolk & Rugby Ave
Norfolk Ave & Fairmont St
North Capitol & R St NE
North Capitol St & F St NW
North Capitol St & G Pl NE
North Shore Dr & Village Rd
Offutt Ln & Chevy Chase Dr
Oglethorpe St & 42nd Ave
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
Oklahoma Ave & D St NE
Park Rd & Holmead Pl NW
Pennsylvania & Minnesota Ave SE
Pentagon City Metro / 12th St & S Hayes St
Pershing Dr & N George Mason Dr
Pershing Dr & Wayne St
Potomac & M St NW
Potomac & Pennsylvania Ave SE
Potomac Ave & 35th St S
Potomac Ave & 8th St SE
Potomac Ave & Half St SW
Potomac Ave & Main Line Blvd
Potomac Ave & Swann Ave
Potomac Greens Dr & Slaters Ln
Prince George's Plaza Metro
Prince St & Union St
Queens Chapel & Hamilton St
Radford St & Osage St
Reservoir Rd & 38th St NW
Rhode Island & Connecticut Ave NW
Rhode Island Ave & 39th St / Brentwood Arts Exchange
Rhode Island Ave & V St NE
Rhode Island Ave Metro
Ridge Rd Community Center
Riggs Rd & East West Hwy
River Rd & Landy Ln
Riverdale Park Town Center
Rockville Metro West
Rolfe St & 9th St S
Roosevelt Island
Rosedale Rec Center
Rosslyn Metro / Wilson Blvd & Ft Myer Dr
Royal St & Wilkes St
S Arlington Mill Dr & Campbell Ave
S George Mason & Four Mile Run Dr
S Glebe Rd & Potomac Ave
Saint Asaph St & Madison St
Saint Asaph St & Pendleton  St
Shady Grove Hospital
Shady Grove Metro West
Silver Spring Metro / Colesville Rd & Wayne Ave
Smithsonian-National Mall / Jefferson Dr & 12th St SW
South Capitol & Atlantic St SW
Spring Hill Metro
Stewart & April
Sunset Hills & Old Reston Ave
Sunset Hills Rd & Isaac Newton Square
TJ Cmty Ctr / 2nd St & S Old Glebe Rd
Takoma Metro
Tanger Outlets
Temporary Rd & Old Reston Ave
Tenleytown / Wisconsin Ave & Albemarle St NW
Thomas Circle
Town Center Pkwy & Bowman Towne Dr
Trinidad Rec Center
Troy St & 26th St S
Tysons Corner Station
US Dept of State / Virginia Ave & 21st St NW
USDA / 12th & C St SW
Union Market
Utah St & 11th St N
Valley Ave & Wheeler Rd SE
Van Ness Metro / UDC
Vermont Ave & I St NW
Virginia Ave & 25th St NW
Virginia Square Metro / Monroe St & 9th St N
W Columbia St & N Washington St
Walter Reed Dr & 8th St S
Ward Circle / American University
Washington & Independence Ave SW/HHS
Washington Blvd & 10th St N
Washington Blvd & 7th St N
Washington Blvd & Walter Reed Dr 
Washington-Liberty High School / N Stafford St & Generals Way
West Falls Church Metro
West Hyattsville Metro
Westpark & Park Run Dr
Westpark Dr & Leesburg Pike
White Flint Metro
White Oak Transit Center
Wiehle Ave & Reston Station Blvd
Wilson Blvd & N Edgewood St
Wilson Blvd & N Franklin Rd
Wilson Blvd & N Illinois St 
Wilson Blvd & N Quincy St
Wilson Blvd & N Troy St
Wilson Blvd & N Uhle St
Windham Ln & Amherst Ave
Wisconsin Ave & Brandywine St NW
Wisconsin Ave & Ingomar St NW
Wisconsin Ave & Newark St NW
Wisconsin Ave & O St NW
Woodglen Dr & Executive Blvd
Woodley Park Metro / Calvert St & Connecticut Ave NW
Woodmont Ave & Strathmore St
14th St Heights / 14th & Crittenden St NW
16th & Q St SE / Anacostia HS
18th St & Rhode Island Ave NE
18th St & S Eads St
19th & Savannah St SE
20th St & Virginia Ave NW
24th & R St NE / National Arboretum
31st St & S Woodrow St
37th & Ely Pl SE
3rd & Underwood St NW
47th & Elm St
Amherst Ave & Elkins St
Amherst Ave & Prichard Rd
Arlington Blvd & N Queen St
Arlington Blvd & S George Mason Dr
Aurora Hills Cmty Ctr / 18th St & S Hayes St
Baltimore Ave & Jefferson St
Benning Branch Library
Branch & Pennsylvania Ave SE
Briggs Chaney & Castle Dr
Castle Blvd & Castle Ln
Citadel Ave & McGrath Blvd
Columbus Ave & Gramercy Blvd
Columbus Ave & Tribeca St
Commonwealth Ave & Oak St
Corporate Blvd & Omega Dr
Crabbs Branch Way & Calhoun Pl
Dennis Ave & Amherst Ave
Fishers Ln & Rock Creek Mill Rd
Frederick Ave & Horners Ln
Gallaudet / 8th St & Florida Ave NE
Georgia Ave & Spring St
Henry St & Pendleton St
John McCormack Rd NE
Jones Branch & Westbranch Dr
Key West Ave & Great Seneca Hwy
King Farm Blvd & Piccard Dr
King Farm Blvd & Pleasant Dr
Lee Center
Lee Hwy & N Adams St
Library St & Freedom Dr
Medical Center Dr & Key West Ave
Medical Center Metro 
Merrilee Dr & Lauren Elizabeth Lane
Monroe St & Monroe Pl
Montgomery & East Ln
N Oak St & W Broad St
N Roosevelt St & Roosevelt Blvd
N Veitch St & Key Blvd
Nannie Helen Burroughs & Minnesota Ave NE
New Hampshire Ave & East-West Hwy
Oak Leaf & Lockwood
Old Georgetown Rd & Southwick St
Park Run & Onyx Dr
Pennsylvania Ave & Park Ave
Perry & 35th St
Philadelphia & Maple Ave
Piccard & W Gude Dr
Pleasant St & MLK Ave SE
Pooks Hill Rd & Linden Ave
Powhatan St & Bashford Ln
Randle Circle & Minnesota Ave SE
Reston Pkwy & Spectrum Dr
Reston Regional Library
Reston Town Center Transit Station
Rhodes St & 16th St N
Rockville Pike & Meeting St
Rockville Pike & Old Georgetown Rd
S Maple Ave & S Washington St
Shirlington Transit Center / Quincy St & Randolph St
Silver Spring Transit Center - Top Level
Spring St & 2nd Ave
State Theatre / Park Pl & N Washington St
Sunset Hills Rd & Discovery Square
The Shoppes @ Burnt Mills
Town Center Pkwy & Sunset Hills Rd
Twinbrook Metro
Veterans Pl & Pershing Dr 
W Broad St & Little Falls St
WAU / Flower Ave & Division St
Wakefield High School
Walter Reed Dr & 16th St S
Washington Blvd & N Frederick St
Wheaton Library & Community Rec Center
Yuma St & Tenley Circle NW
Grandview & Blueridge Ave
Key West Ave & Diamondback Dr
Mississippi Ave & 19th St SE / THEARC
New Hampshire & Lockwood
Oxon Hill Park & Ride
Reston YMCA
Shady Grove Metro East
Wheaton Metro / Georgia Ave & Reedie Dr
Good Hope Rd & 14th St SE
Greensboro & Pinnacle Dr
Hyattsville Library / Adelphi Rd & Toledo Rd
New Hampshire & Kirklynn Ave
Takoma Park Rec Center
The Mall at Prince Georges
United Medical Center
Westover Library / Washington Blvd & N McKinley Rd
Westpark & Jones Branch Dr
14th & R St NW
Crabbs Branch Way & Redland Rd
N Pitt & Wythe St
Rhode Island & Montana Ave NE
Rockville Metro East
White Oak Rec Center
Garland Ave & Walden Rd
Largo Rd & Campus Way / Prince Georges's Comm Col
Southern Ave Metro
Tysons One Pl & Chain Bridge Rd
Capitol Heights Metro
Motivate BX Tech office
Tysons West Transit Center
Wilson Blvd. & N. Vermont St.
Sligo Ave & Carroll Ln
McLean Metro
Traville Gateway Dr & Gudelsky Dr
Executive Blvd & E Jefferson St
Montgomery College / W Campus Dr & Mannakee St
Northwestern High School
Stanton Square SE
Broschart & Blackwell Rd
Campus Commons
Falls Church City Hall / Park Ave & Little Falls St
North Shore & Cameron Crescent Dr/Crescent Apartments
Greensboro & International Dr
Minnesota Ave & R St SE
Stewart Ln & Old Columbia Pike
Towers Crescent Dr & Tysons One Pl
Vy Reston Heights
1st & K NE
1st & K St NE
Connecticut Ave & Chevy Chase Lake Dr
Oklahoma Ave & Benning Rd NE
Wheeler Ave & S. Floyd St.
N. Beauregard St. & Berkley St.
Mt Vernon Trail & S. Washington St.
Eisenhower Ave & Ike Dr
Capitol Ave & Kendall St NE
Motivate Tech Office
14th & D St SE
14th & Q St NW
Half & Water St SW
13th & U St NW
Stadium Armory Metro
6035 Warehouse
Broadbranch & Northampton NW
St Asaph & Pendleton St
Broad Branch Rd & Northampton St NW
St. Asaph & Montgomery St
Duke St & Strand (Robinson Terminal)
Eastern Market Metro / Pennsylvania Ave & 8th St SE
21st St & G st NW
4th St & G St SW
Kansas Ave & Longfellow St NW
National Airport
Ft Myer Dr & Arlington Blvd
23rd St S & Hayes St
Wilson Blvd & N Oak St
Arlington Blvd & Fairfax Dr
Fern St & Army Navy Dr
2nd & V St SW / James Creek Marina
1st St & Potomac Ave SE
3rd & M st SE
20th & Columbia Rd NW
53rd & D St SE/C.W. Harris Elementary
Arlington Blvd & Ft Myer Dr
Wilson Blvd & N Quinn St
N Pitt St & Montgomery St
N Hampton Dr & Ford Ave
Anacostia Roller Skating Pavillion
Whiting & Lane Dr
N Howard St & Taney Ave
S Clark St & 33rd St
15th & Harvard St NW
Columbia Pike & S Greenbrier St
Thomas Jefferson St NW & Water/K St NW
Kenmore Ave & Seminary Rd
